STT,DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
74,10/19/2016,654.45,659.39,660.77,654.45,77.57
75,10/20/2016,661.11,657.15,661.2,655.75,59.85
76,10/21/2016,657.38,655.17,658.77,653.71,49.54
77,10/24/2016,654.17,648.29,654.17,648.29,46.61
78,10/25/2016,645.32,644.91,646.97,640.03,57.91
79,10/26/2016,643.57,641.81,645.25,639.07,40.46
80,10/27/2016,641.42,644.18,644.18,640.13,42.27
81,10/28/2016,643.66,649.27,649.31,642.82,54.32
82,10/31/2016,649.28,644.22,649.28,644.22,66.22
83,11/1/2016,643.26,643.05,644.7,641.4,60.04
84,11/2/2016,641.56,636.54,642.87,636.54,81.17
85,11/3/2016,634.28,632.81,634.28,627.9,72.94
86,11/4/2016,632.39,632.54,634.5,631.8,38.77
87,11/7/2016,633.03,639.91,639.98,632.63,53.01
88,11/8/2016,640,642.01,643.43,640,44.77
89,11/9/2016,641.84,635.42,641.84,620.35,78.46
90,11/10/2016,640.96,641.9,642.88,639.68,55.45
91,11/11/2016,641.8,642,642.9,639.88,53.37
92,11/14/2016,640.06,634.13,642.24,634.13,62.05
93,11/15/2016,636.01,637.51,639.38,635.2,53.47
94,11/16/2016,638,638.72,641.21,637.99,52.15
95,11/17/2016,638.7,636.02,639.16,635.32,62.89
96,11/18/2016,635.63,634.35,636.61,632.45,44.57
97,11/21/2016,635.82,638.87,638.87,634.43,49.15
98,11/22/2016,638.29,643.76,643.8,638.29,53.41
99,11/23/2016,643.82,647.59,649.65,643.6,47.91
100,11/24/2016,650.52,647.47,651.55,645.36,58.91
101,11/25/2016,648.82,643.38,648.82,641.7,52.26
102,11/28/2016,640.58,630.62,640.75,628.48,42.24
103,11/29/2016,631.22,625.78,632.89,623.32,57.62
104,11/30/2016,626.68,631.89,632.9,622.12,67.13
105,12/1/2016,633.63,631.55,636.43,631.55,60.63
106,12/2/2016,631.81,629.64,632.3,628.68,70.24
107,12/5/2016,628.6,625.32,629.85,625.32,49.45
108,12/6/2016,625.68,616.26,626.15,614.23,59.02
109,12/7/2016,614.64,615,617.22,614.1,70.5
110,12/8/2016,619.03,619.45,620.23,615,40.24
111,12/9/2016,620.48,619.64,621.86,617.29,34.5
112,12/12/2016,616.5,612.83,617.89,612.24,52.77
113,12/13/2016,612.52,606.71,612.74,606.07,56.73
114,12/14/2016,607,615.26,615.26,606.55,57.3
115,12/15/2016,614.83,613.25,615.72,610.64,60.09
116,12/16/2016,613.31,621.04,621.04,613.27,103.8
117,12/19/2016,622.19,623.85,626.78,622.19,47.47
118,12/20/2016,622.59,616.74,622.62,615.95,37.02
119,12/21/2016,616.72,618.43,620.28,614.13,40.78
120,12/22/2016,619.99,618.35,621.87,617.15,42.9
121,12/23/2016,617.58,620.75,620.75,615.74,50.52
122,12/26/2016,622.91,621.73,624.52,621.71,47.42
123,12/27/2016,622.05,623.46,624.17,621.77,57.51
124,12/28/2016,625.55,624.83,626.44,623.24,50.2
125,12/29/2016,627.82,626.95,627.94,626.3,45.34
126,12/30/2016,625.8,628.21,628.21,625.18,46.76
127,1/3/2017,627.65,633.89,634.18,627.58,42.89
128,1/4/2017,632.8,632.7,635.39,630.46,52.29
129,1/5/2017,633.61,634.83,635.33,632.46,50.35
130,1/6/2017,634.56,636.34,640.74,634.26,69.77
131,1/9/2017,636.82,638.4,640.02,636.82,55.05
132,1/10/2017,639,639.36,640.86,638.61,42.15
133,1/11/2017,639.56,643.39,643.39,639.52,50.31
134,1/12/2017,644.53,642.25,645.14,641.71,58.11
135,1/13/2017,642.21,640.07,643.85,640.07,42.31
136,1/16/2017,639.59,632.7,640.52,632.7,41.11
137,1/17/2017,633.42,637.54,637.54,632.7,51.33
138,1/18/2017,637.09,633.1,638.72,633.1,42.06
139,1/19/2017,632.31,631,634,630.48,33.9
140,1/20/2017,632.17,634.28,636.39,632.17,35.85
141,1/23/2017,634.81,635.42,637.14,634.81,35.32
142,1/24/2017,635.31,639.32,640.18,635.31,34.71
143,1/25/2017,640.92,644.79,644.79,639.43,38.33
144,2/2/2017,645.72,652.98,652.98,645.72,37.21
145,2/3/2017,656.27,651.18,657.63,651.18,44.59
146,2/6/2017,652.5,654.03,654.03,649.35,37.89
147,2/7/2017,654.24,656.48,657.42,653.88,54.42
148,2/8/2017,657.62,657.97,657.97,655.12,45.31
149,2/9/2017,658.4,658.83,660.08,657.65,56.81
150,2/10/2017,659.12,658.78,659.81,657.65,48.04
151,2/13/2017,660.03,662.68,662.83,659.32,47.48
152,2/14/2017,664.11,663.43,665.24,660.57,56.29
153,2/15/2017,663.58,669.08,670.06,663.58,55.2
154,2/16/2017,670.49,667.72,676.65,667.47,78.25
155,2/17/2017,667.09,668.1,668.76,664.49,58.86
156,2/20/2017,664.9,667.56,669.5,663.11,70.85
157,2/21/2017,668.3,671.52,673.77,668.3,64.5
158,2/22/2017,671.96,668.61,672.43,666.49,69.79
159,2/23/2017,668.69,667.42,670.97,662.06,58.47
160,2/24/2017,667.27,661.81,668.3,661.37,68.54
161,2/27/2017,659.63,666.22,666.64,659.63,55.41
162,2/28/2017,667.17,657.95,667.7,657.95,40.58
163,3/1/2017,656.69,655.99,657.64,649.45,52.8
164,3/2/2017,655.94,653.76,658.71,653.76,44.57
165,3/3/2017,654.36,656.77,657.41,650.59,41.54
166,3/6/2017,657.26,658.61,660.79,657.26,45.66
167,3/7/2017,658.21,659.9,659.9,656.36,49.91
168,3/8/2017,659.64,662.48,665.2,658.54,41.61
169,3/9/2017,662.3,664.3,666.66,662.04,65.38
170,3/10/2017,664.59,663.49,667.49,663.49,58.26
171,3/13/2017,663.86,662.67,664.49,659.95,39.74
172,3/14/2017,663.13,665.46,667.67,662.82,33.81
173,3/15/2017,666.46,663.57,667.42,663.54,39.03
174,3/16/2017,663.85,668.07,668.07,663.85,59.84
